Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,422,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,429,*,*,17.5,*,*,4.7,*,*,22.2,*,*,25.5,,,,,,,,,,,,,
43,,-,86.9,86.9,-,11.3,11.3,-,98.3,98.3,-,120.4,120.4,,,,,,,,,,,,,
,431,*,*,0.8,*,*,-,*,*,0.8,*,*,1.3,,,,,,,,,,,,,
,432,*,*,54.8,*,*,6.5,*,*,61.3,*,*,74.1,,,,,,,,,,,,,
,433,-,20.7,20.7,-,3.0,3.0,-,23.7,23.7,-,30.1,30.1,,,,,,,,,,,,,
,439,-,10.7,10.7,-,1.8,1.8,-,12.5,12.5,-,15.0,15.0,,,,,,,,,,,,,
45,,0.1,62.9,63.0,-,10.8,10.8,0.1,73.7,73.8,0.1,80.1,80.2,,,,,,,,,,,,,
,451,-,22.2,22.2,-,2.3,2.3,-,24.5,24.5,-,25.4,25.4,,,,,,,,,,,,,
,452,0.1,31.1,31.2,-,5.6,5.6,0.1,36.7,36.8,0.1,41.8,41.9,,,,,,,,,,,,,
,453,-,8.5,8.5,-,2.8,2.8,-,11.3,11.3,-,11.7,11.7,,,,,,,,,,,,,
,454,-,1.1,1.1,-,0.1,0.1,-,1.2,1.2,-,1.3,1.3,,,,,,,,,,,,,
46,,*,*,161.9,*,*,20.7,*,*,182.6,*,*,194.3,,,,,,,,,,,,,
,461,-,5.6,5.6,-,1.5,1.5,-,7.2,7.2,-,7.8,7.8,,,,,,,,,,,,,
,462,-,2.2,2.2,-,0.7,0.7,-,2.9,2.9,-,3.0,3.0,,,,,,,,,,,,,
,463,-,18.5,18.5,-,3.1,3.1,-,21.6,21.6,-,23.7,23.7,,,,,,,,,,,,,
,464,-,44.6,44.6,-,5.9,5.9,-,50.5,50.5,-,53.5,53.5,,,,,,,,,,,,,
,465,-,22.5,22.5,-,2.1,2.1,-,24.6,24.6,-,25.4,25.4,,,,,,,,,,,,,
,466,*,*,27.1,*,*,2.4,*,*,29.6,*,*,30.6,,,,,,,,,,,,,
,467,-,30.6,30.6,-,3.5,3.5,-,34.1,34.1,-,36.3,36.3,,,,,,,,,,,,,
,469,-,10.6,10.6,-,1.5,1.5,-,12.1,12.1,-,14.0,14.0,,,,,,,,,,,,,
47,,-,167.1,167.2,-,215.1,215.1,0.1,382.2,382.3,0.1,407.0,407.1,,,,,,,,,,,,,
,471,*,*,63.0,*,*,106.3,*,*,169.2,*,*,175.6,,,,,,,,,,,,,
