Table 5 - Regional level employment by 2 & 3 digit SIC2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,613,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,619,-,5.7,5.7,-,0.6,0.6,-,6.3,6.3,-,6.4,6.4,,,,,,,,,,,,,
62,,*,*,6.1,*,*,1.0,*,*,7.1,*,*,8.4,,,,,,,,,,,,,
,620,*,*,6.1,*,*,1.0,*,*,7.1,*,*,8.4,,,,,,,,,,,,,
63,,*,*,1.3,*,*,0.3,*,*,1.6,*,*,1.8,,,,,,,,,,,,,
,631,*,*,1.0,*,*,0.2,*,*,1.1,*,*,1.2,,,,,,,,,,,,,
,639,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
64,,5.3,5.9,11.2,1.7,2.0,3.7,7.0,7.9,14.9,7.0,8.0,15.0,,,,,,,,,,,,,
,641,5.2,4.8,10.0,1.7,1.8,3.4,6.8,6.5,13.4,6.8,6.6,13.4,,,,,,,,,,,,,
,642,-,-,-,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,643,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
,649,*,*,1.1,*,*,0.3,*,*,1.3,*,*,1.4,,,,,,,,,,,,,
65,,*,*,5.3,*,*,0.7,*,*,5.9,*,*,5.9,,,,,,,,,,,,,
,651,*,*,5.2,*,*,0.6,*,*,5.9,*,*,5.9,,,,,,,,,,,,,
,652,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,653,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
66,,*,*,4.5,*,*,1.8,*,*,6.3,*,*,6.7,,,,,,,,,,,,,
,661,*,*,1.2,*,*,1.0,*,*,2.2,*,*,2.3,,,,,,,,,,,,,
,662,*,*,3.4,*,*,0.7,*,*,4.1,*,*,4.3,,,,,,,,,,,,,
,663,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
68,,0.6,6.7,7.2,0.6,3.2,3.8,1.2,9.8,11.0,1.2,12.1,13.3,,,,,,,,,,,,,
,681,-,-,-,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
