Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South West,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,501,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.7,0.7,,,,,,,,,,,,,
,502,-,0.2,0.2,-,0.1,0.1,-,0.2,0.2,-,0.4,0.4,,,,,,,,,,,,,
,503,*,*,0.1,*,*,-,*,*,0.1,*,*,0.3,,,,,,,,,,,,,
,504,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
51,,-,2.3,2.3,-,0.4,0.4,-,2.6,2.6,-,2.6,2.6,,,,,,,,,,,,,
,511,-,2.1,2.1,-,0.3,0.3,-,2.4,2.4,-,2.4,2.4,,,,,,,,,,,,,
,512,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
52,,1.1,16.5,17.6,0.3,2.0,2.3,1.4,18.4,19.9,1.4,18.5,19.9,,,,,,,,,,,,,
,521,*,*,9.3,*,*,0.7,*,*,10.0,*,*,10.0,,,,,,,,,,,,,
,522,*,*,8.3,*,*,1.6,*,*,9.8,*,*,9.9,,,,,,,,,,,,,
53,,*,*,20.0,*,*,3.5,*,*,23.5,*,*,24.5,,,,,,,,,,,,,
,531,*,*,13.9,*,*,2.9,*,*,16.8,*,*,16.8,,,,,,,,,,,,,
,532,-,6.0,6.0,-,0.7,0.7,-,6.7,6.7,-,7.7,7.7,,,,,,,,,,,,,
55,,*,*,35.0,*,*,28.2,*,*,63.2,*,*,67.4,,,,,,,,,,,,,
,551,-,25.0,25.0,-,20.3,20.3,-,45.3,45.3,-,48.5,48.5,,,,,,,,,,,,,
,552,-,5.6,5.6,-,3.8,3.8,-,9.4,9.4,-,9.9,9.9,,,,,,,,,,,,,
,553,-,4.1,4.1,-,3.7,3.7,-,7.7,7.7,-,8.2,8.2,,,,,,,,,,,,,
,559,*,*,0.4,*,*,0.4,*,*,0.8,*,*,0.8,,,,,,,,,,,,,
56,,*,*,45.2,*,*,87.6,*,*,132.9,*,*,142.7,,,,,,,,,,,,,
,561,*,*,21.9,*,*,33.0,*,*,54.9,*,*,60.3,,,,,,,,,,,,,
,562,0.2,6.2,6.3,0.4,11.6,12.0,0.5,17.8,18.3,0.5,17.9,18.5,,,,,,,,,,,,,
,563,-,17.0,17.0,-,42.7,42.7,-,59.7,59.7,-,63.9,63.9,,,,,,,,,,,,,
58,,*,*,5.7,*,*,2.0,*,*,7.6,*,*,7.9,,,,,,,,,,,,,
,581,*,*,5.4,*,*,1.8,*,*,7.2,*,*,7.5,,,,,,,,,,,,,
,582,-,0.3,0.3,-,0.2,0.2,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
59,,*,*,2.4,*,*,1.1,*,*,3.5,*,*,4.5,,,,,,,,,,,,,
,591,*,*,2.2,*,*,1.1,*,*,3.3,*,*,4.2,,,,,,,,,,,,,
,592,*,*,0.1,*,*,-,*,*,0.2,*,*,0.3,,,,,,,,,,,,,
60,,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.7,0.7,,,,,,,,,,,,,
,601,-,*,*,-,*,*,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,602,-,*,*,-,*,*,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
61,,*,*,15.9,*,*,2.3,*,*,18.2,*,*,18.4,,,,,,,,,,,,,
,611,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,612,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.1,1.1,,,,,,,,,,,,,
,613,-,0.2,0.2,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,619,*,*,14.7,*,*,2.1,*,*,16.8,*,*,16.9,,,,,,,,,,,,,
62,,*,*,28.7,*,*,4.3,*,*,33.0,*,*,38.0,,,,,,,,,,,,,
,620,*,*,28.7,*,*,4.3,*,*,33.0,*,*,38.0,,,,,,,,,,,,,
63,,*,*,4.4,*,*,0.8,*,*,5.3,*,*,5.6,,,,,,,,,,,,,
,631,-,3.6,3.6,-,0.7,0.7,-,4.3,4.3,-,4.6,4.6,,,,,,,,,,,,,
,639,*,*,0.8,*,*,0.1,*,*,0.9,*,*,1.0,,,,,,,,,,,,,
64,,13.9,17.8,31.7,2.5,4.9,7.4,16.4,22.7,39.1,16.4,23.5,39.9,,,,,,,,,,,,,
,641,13.9,15.8,29.7,2.4,3.7,6.1,16.3,19.5,35.8,16.3,19.6,35.9,,,,,,,,,,,,,
,642,*,*,0.1,*,*,0.1,*,*,0.2,*,*,0.4,,,,,,,,,,,,,
,643,-,0.2,0.2,-,0.1,0.1,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
,649,*,*,1.8,*,*,1.0,*,*,2.8,*,*,3.3,,,,,,,,,,,,,
65,,*,*,11.9,*,*,2.3,*,*,14.2,*,*,14.2,,,,,,,,,,,,,
,651,*,*,11.9,*,*,2.3,*,*,14.2,*,*,14.2,,,,,,,,,,,,,
