Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,East Midlands,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
36,,-,2.0,2.0,-,0.2,0.2,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
,360,-,2.0,2.0,-,0.2,0.2,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
37,,0.1,0.8,0.9,-,-,-,0.1,0.9,0.9,0.1,0.9,1.0,,,,,,,,,,,,,
,370,0.1,0.8,0.9,-,-,-,0.1,0.9,0.9,0.1,0.9,1.0,,,,,,,,,,,,,
38,,1.9,6.5,8.5,0.1,0.5,0.6,2.0,7.0,9.0,2.0,7.9,10.0,,,,,,,,,,,,,
,381,1.2,2.3,3.5,0.1,0.4,0.4,1.3,2.6,4.0,1.3,2.9,4.2,,,,,,,,,,,,,
,382,0.7,2.8,3.5,-,-,-,0.7,2.8,3.5,0.7,3.0,3.7,,,,,,,,,,,,,
,383,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,2.0,2.0,,,,,,,,,,,,,
39,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,390,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
41,,1.3,16.4,17.7,0.1,1.7,1.8,1.4,18.1,19.4,1.4,21.2,22.6,,,,,,,,,,,,,
,411,*,*,1.3,*,*,0.1,*,*,1.4,*,*,2.0,,,,,,,,,,,,,
,412,*,*,16.4,*,*,1.7,*,*,18.0,*,*,20.6,,,,,,,,,,,,,
42,,1.9,16.6,18.5,0.7,0.8,1.5,2.6,17.5,20.0,2.6,19.1,21.7,,,,,,,,,,,,,
,421,*,*,4.5,*,*,0.7,*,*,5.2,*,*,5.2,,,,,,,,,,,,,
,422,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,429,*,*,13.3,*,*,0.8,*,*,14.1,*,*,15.7,,,,,,,,,,,,,
43,,0.1,38.1,38.2,-,3.2,3.2,0.2,41.3,41.4,0.2,52.1,52.2,,,,,,,,,,,,,
,431,*,*,0.5,*,*,-,*,*,0.5,*,*,0.7,,,,,,,,,,,,,
,432,*,*,17.8,*,*,1.6,-,19.4,19.4,-,25.4,25.4,,,,,,,,,,,,,
,433,*,*,14.0,*,*,0.9,*,*,14.9,*,*,19.0,,,,,,,,,,,,,
,439,*,*,6.0,*,*,0.6,*,*,6.6,*,*,7.1,,,,,,,,,,,,,
45,,0.1,31.3,31.5,-,4.3,4.4,0.2,35.6,35.8,0.2,41.1,41.3,,,,,,,,,,,,,
,451,-,10.1,10.1,-,1.5,1.5,-,11.6,11.6,-,12.8,12.8,,,,,,,,,,,,,
,452,0.1,14.3,14.4,-,1.5,1.5,0.2,15.8,15.9,0.2,19.1,19.3,,,,,,,,,,,,,
,453,-,6.5,6.5,-,1.2,1.2,-,7.8,7.8,-,8.6,8.6,,,,,,,,,,,,,
,454,-,0.4,0.4,-,0.1,0.1,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
46,,*,*,84.2,*,*,12.5,*,*,96.8,*,*,101.9,,,,,,,,,,,,,
,461,-,3.5,3.5,-,1.7,1.7,-,5.2,5.2,-,6.1,6.1,,,,,,,,,,,,,
,462,-,2.8,2.8,-,0.5,0.5,-,3.3,3.3,-,3.3,3.3,,,,,,,,,,,,,
,463,-,14.5,14.5,-,2.5,2.5,-,17.0,17.0,-,17.4,17.4,,,,,,,,,,,,,
,464,-,18.0,18.0,-,3.2,3.2,-,21.2,21.2,-,22.4,22.4,,,,,,,,,,,,,
,465,-,4.1,4.1,-,0.6,0.6,-,4.7,4.7,-,4.7,4.7,,,,,,,,,,,,,
,466,-,9.8,9.8,-,1.0,1.0,-,10.8,10.8,-,11.9,11.9,,,,,,,,,,,,,
,467,-,21.5,21.5,-,2.4,2.4,-,23.9,23.9,-,25.4,25.4,,,,,,,,,,,,,
,469,*,*,10.1,*,*,0.7,*,*,10.8,*,*,10.8,,,,,,,,,,,,,
47,,*,*,79.4,*,*,104.6,*,*,184.0,*,*,195.1,,,,,,,,,,,,,
,471,*,*,33.1,*,*,58.5,*,*,91.6,*,*,95.5,,,,,,,,,,,,,
,472,-,2.0,2.0,-,2.8,2.8,-,4.8,4.8,-,6.8,6.8,,,,,,,,,,,,,
,473,-,0.7,0.7,-,0.9,0.9,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,474,-,1.1,1.1,-,0.6,0.6,-,1.7,1.7,-,1.9,1.9,,,,,,,,,,,,,
,475,-,8.1,8.1,-,4.8,4.8,-,12.8,12.8,-,13.8,13.8,,,,,,,,,,,,,
,476,-,4.2,4.2,-,6.1,6.1,-,10.3,10.3,-,11.9,11.9,,,,,,,,,,,,,
,477,-,27.4,27.4,-,28.7,28.7,-,56.1,56.1,-,57.5,57.5,,,,,,,,,,,,,
,478,-,0.2,0.2,-,0.2,0.2,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,479,-,2.6,2.6,-,2.0,2.0,-,4.6,4.6,-,5.5,5.5,,,,,,,,,,,,,
49,,1.2,41.6,42.9,0.1,6.4,6.5,1.3,48.1,49.3,1.3,50.5,51.8,,,,,,,,,,,,,
,491,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,492,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,493,1.2,11.2,12.4,0.1,2.0,2.0,1.2,13.2,14.5,1.2,13.9,15.1,,,,,,,,,,,,,
,494,-,28.6,28.6,-,4.3,4.3,-,33.0,33.0,-,34.8,34.8,,,,,,,,,,,,,
,495,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
50,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.3,0.3,,,,,,,,,,,,,
,501,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,502,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,503,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,504,-,*,*,-,-,-,-,*,*,-,*,*,,,,,,,,,,,,,
51,,-,1.6,1.6,-,0.2,0.2,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,511,-,1.5,1.5,-,0.2,0.2,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,512,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
52,,0.4,23.1,23.4,0.1,1.8,1.9,0.5,24.9,25.3,0.5,24.9,25.3,,,,,,,,,,,,,
,521,*,*,16.7,*,*,1.2,-,17.9,18.0,-,17.9,18.0,,,,,,,,,,,,,
,522,*,*,6.7,*,*,0.7,0.4,6.9,7.4,0.4,6.9,7.4,,,,,,,,,,,,,
53,,9.7,11.4,21.1,2.1,2.2,4.3,11.8,13.6,25.4,11.8,14.2,26.0,,,,,,,,,,,,,
,531,*,*,9.7,*,*,2.2,*,*,11.9,*,*,11.9,,,,,,,,,,,,,
,532,*,*,11.4,*,*,2.1,*,*,13.5,*,*,14.1,,,,,,,,,,,,,
55,,*,*,11.9,*,*,10.0,*,*,21.9,*,*,22.7,,,,,,,,,,,,,
,551,-,8.3,8.3,-,7.7,7.7,-,16.0,16.0,-,16.7,16.7,,,,,,,,,,,,,
,552,-,2.3,2.3,-,1.5,1.5,-,3.8,3.8,-,3.9,3.9,,,,,,,,,,,,,
,553,*,*,1.1,*,*,0.5,*,*,1.6,*,*,1.7,,,,,,,,,,,,,
,559,-,0.2,0.2,-,0.2,0.2,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
