Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yorkshire and The Humber ,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,502,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,503,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,504,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
51,,-,1.3,1.3,-,0.2,0.2,-,1.5,1.5,-,1.6,1.6,,,,,,,,,,,,,
,511,-,1.2,1.2,-,0.2,0.2,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
,512,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
52,,0.5,32.4,32.8,0.1,4.2,4.2,0.5,36.5,37.1,0.6,37.1,37.7,,,,,,,,,,,,,
,521,*,*,19.9,*,*,3.0,*,*,22.8,*,*,23.2,,,,,,,,,,,,,
,522,*,*,13.0,*,*,1.2,*,*,14.2,*,*,14.5,,,,,,,,,,,,,
53,,*,*,18.3,*,*,3.8,*,*,22.0,*,*,22.6,,,,,,,,,,,,,
,531,*,*,12.4,*,*,2.7,*,*,15.0,*,*,15.1,,,,,,,,,,,,,
,532,*,*,5.9,*,*,1.1,*,*,7.0,*,*,7.6,,,,,,,,,,,,,
55,,*,*,13.0,*,*,11.2,0.1,24.1,24.2,0.1,25.4,25.4,,,,,,,,,,,,,
,551,-,10.7,10.7,-,9.8,9.8,-,20.5,20.5,-,21.5,21.5,,,,,,,,,,,,,
,552,*,*,0.9,*,*,0.7,*,*,1.5,*,*,1.6,,,,,,,,,,,,,
,553,*,*,1.3,*,*,0.7,*,*,2.0,*,*,2.1,,,,,,,,,,,,,
,559,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
56,,*,*,42.6,*,*,67.4,2.5,107.5,110.0,2.5,114.9,117.4,,,,,,,,,,,,,
,561,*,*,21.0,*,*,23.9,*,*,44.9,*,*,47.9,,,,,,,,,,,,,
,562,*,*,4.3,*,*,5.9,*,*,10.2,*,*,10.2,,,,,,,,,,,,,
,563,-,17.3,17.3,-,37.6,37.6,-,54.9,54.9,-,59.3,59.3,,,,,,,,,,,,,
58,,-,4.9,4.9,-,10.4,10.4,-,15.3,15.3,-,15.3,15.3,,,,,,,,,,,,,
,581,-,4.6,4.6,-,10.2,10.2,-,14.8,14.8,-,14.8,14.8,,,,,,,,,,,,,
,582,-,0.3,0.3,-,0.3,0.3,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
59,,*,*,1.9,*,*,0.9,0.2,2.6,2.8,0.2,2.9,3.1,,,,,,,,,,,,,
,591,*,*,1.6,*,*,0.9,0.2,2.3,2.5,0.2,2.6,2.8,,,,,,,,,,,,,
,592,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
60,,*,*,0.4,*,*,-,*,*,0.4,*,*,0.4,,,,,,,,,,,,,
,601,*,*,*,*,*,*,*,*,0.4,*,*,0.4,,,,,,,,,,,,,
,602,*,*,*,*,*,*,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
61,,*,*,13.5,*,*,2.4,*,*,15.9,*,*,15.9,,,,,,,,,,,,,
,611,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,612,-,0.5,0.5,-,0.1,0.1,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,613,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,619,*,*,12.5,*,*,2.2,*,*,14.8,*,*,14.8,,,,,,,,,,,,,
62,,0.3,17.1,17.4,-,2.4,2.4,0.3,19.6,19.8,0.3,21.7,22.0,,,,,,,,,,,,,
,620,0.3,17.1,17.4,-,2.4,2.4,0.3,19.6,19.8,0.3,21.7,22.0,,,,,,,,,,,,,
63,,*,*,1.7,*,*,0.7,*,*,2.4,*,*,2.7,,,,,,,,,,,,,
,631,*,*,1.0,*,*,0.3,*,*,1.3,*,*,1.5,,,,,,,,,,,,,
,639,-,0.7,0.7,-,0.5,0.5,-,1.1,1.1,-,1.3,1.3,,,,,,,,,,,,,
64,,20.4,20.0,40.4,3.7,6.5,10.2,24.1,26.4,50.6,24.1,26.6,50.7,,,,,,,,,,,,,
,641,20.3,16.1,36.4,3.7,5.1,8.8,24.0,21.2,45.3,24.0,21.2,45.3,,,,,,,,,,,,,
,642,*,*,0.2,*,*,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,643,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
